Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,1 wk ahead,Point,percent,NA,NA,1.9000000000000001
US National,1 wk ahead,Bin,percent,0.0,0.1,4.802470527920377e-06
US National,1 wk ahead,Bin,percent,0.1,0.2,6.903464168317441e-06
US National,1 wk ahead,Bin,percent,0.2,0.3,1.5419353701418004e-05
US National,1 wk ahead,Bin,percent,0.3,0.4,2.4660121198394336e-05
US National,1 wk ahead,Bin,percent,0.4,0.5,5.6459824008925345e-05
US National,1 wk ahead,Bin,percent,0.5,0.6,0.00021403453729362806
US National,1 wk ahead,Bin,percent,0.6,0.7,0.00039588539220858365
US National,1 wk ahead,Bin,percent,0.7,0.8,0.0008295764127979054
US National,1 wk ahead,Bin,percent,0.8,0.9,0.0015633946750313044
US National,1 wk ahead,Bin,percent,0.9,1.0,0.0021057039266452193
US National,1 wk ahead,Bin,percent,1.0,1.1,0.004461910575628281
US National,1 wk ahead,Bin,percent,1.1,1.2,0.010959651146549731
US National,1 wk ahead,Bin,percent,1.2,1.3,0.0211048002820462
US National,1 wk ahead,Bin,percent,1.3,1.4,0.0392463393509388
US National,1 wk ahead,Bin,percent,1.4,1.5,0.061827005818486214
US National,1 wk ahead,Bin,percent,1.5,1.6,0.07579963095486164
US National,1 wk ahead,Bin,percent,1.6,1.7,0.08316965587437153
US National,1 wk ahead,Bin,percent,1.7,1.8,0.09089380316436291
US National,1 wk ahead,Bin,percent,1.8,1.9,0.1041496004909277
US National,1 wk ahead,Bin,percent,1.9,2.0,0.10563000291585922
US National,1 wk ahead,Bin,percent,2.0,2.1,0.08527826331555843
US National,1 wk ahead,Bin,percent,2.1,2.2,0.06700702104717493
US National,1 wk ahead,Bin,percent,2.2,2.3,0.055808499455451965
US National,1 wk ahead,Bin,percent,2.3,2.4,0.04575017746537924
US National,1 wk ahead,Bin,percent,2.4,2.5,0.034076516050845385
US National,1 wk ahead,Bin,percent,2.5,2.6,0.02474740846082568
US National,1 wk ahead,Bin,percent,2.6,2.7,0.01994686364196241
US National,1 wk ahead,Bin,percent,2.7,2.8,0.014829195803031325
US National,1 wk ahead,Bin,percent,2.8,2.9,0.010167703265324235
US National,1 wk ahead,Bin,percent,2.9,3.0,0.007492724107578397
US National,1 wk ahead,Bin,percent,3.0,3.1,0.006647856382187456
US National,1 wk ahead,Bin,percent,3.1,3.2,0.005659075919538736
US National,1 wk ahead,Bin,percent,3.2,3.3,0.0050157796940766275
US National,1 wk ahead,Bin,percent,3.3,3.4,0.0035306181962369014
US National,1 wk ahead,Bin,percent,3.4,3.5,0.001435481055523269
US National,1 wk ahead,Bin,percent,3.5,3.6,0.0007717671396676451
US National,1 wk ahead,Bin,percent,3.6,3.7,0.0008151035726768896
US National,1 wk ahead,Bin,percent,3.7,3.8,0.0009473418322158977
US National,1 wk ahead,Bin,percent,3.8,3.9,0.0008056024707912002
US National,1 wk ahead,Bin,percent,3.9,4.0,0.000453031825600192
US National,1 wk ahead,Bin,percent,4.0,4.1,0.0005846039748576004
US National,1 wk ahead,Bin,percent,4.1,4.2,0.0008110087292152457
US National,1 wk ahead,Bin,percent,4.2,4.3,0.0005364382377592847
US National,1 wk ahead,Bin,percent,4.3,4.4,0.00036549632204696536
US National,1 wk ahead,Bin,percent,4.4,4.5,0.00033936520503630163
US National,1 wk ahead,Bin,percent,4.5,4.6,0.00017746652702044233
US National,1 wk ahead,Bin,percent,4.6,4.7,9.361971387988888e-05
US National,1 wk ahead,Bin,percent,4.7,4.8,5.766156925801625e-05
US National,1 wk ahead,Bin,percent,4.8,4.9,4.8447941253471065e-05
US National,1 wk ahead,Bin,percent,4.9,5.0,0.00017935545099589945
US National,1 wk ahead,Bin,percent,5.0,5.1,0.00027233833134232555
US National,1 wk ahead,Bin,percent,5.1,5.2,0.0002223234660050366
US National,1 wk ahead,Bin,percent,5.2,5.3,0.00026854934367293026
US National,1 wk ahead,Bin,percent,5.3,5.4,0.00028234978628915997
US National,1 wk ahead,Bin,percent,5.4,5.5,0.00011961203131249934
US National,1 wk ahead,Bin,percent,5.5,5.6,2.805920178161614e-05
US National,1 wk ahead,Bin,percent,5.6,5.7,9.010008216137065e-05
US National,1 wk ahead,Bin,percent,5.7,5.8,0.00016449624081360525
US National,1 wk ahead,Bin,percent,5.8,5.9,0.00010882064339057253
US National,1 wk ahead,Bin,percent,5.9,6.0,2.2115081037554777e-05
US National,1 wk ahead,Bin,percent,6.0,6.1,0.00024322026115441983
US National,1 wk ahead,Bin,percent,6.1,6.2,0.0004891377204785385
US National,1 wk ahead,Bin,percent,6.2,6.3,0.0002577720207881385
US National,1 wk ahead,Bin,percent,6.3,6.4,1.0593222867782972e-05
US National,1 wk ahead,Bin,percent,6.4,6.5,1.092885206332994e-05
US National,1 wk ahead,Bin,percent,6.5,6.6,4.959503655754815e-05
US National,1 wk ahead,Bin,percent,6.6,6.7,7.396630803668813e-05
US National,1 wk ahead,Bin,percent,6.7,6.8,3.6756875374521776e-05
US National,1 wk ahead,Bin,percent,6.8,6.9,4.657897534343647e-06
US National,1 wk ahead,Bin,percent,6.9,7.0,3.6875952105219767e-06
US National,1 wk ahead,Bin,percent,7.0,7.1,3.4111354239030334e-06
US National,1 wk ahead,Bin,percent,7.1,7.2,2.7180932420378667e-06
US National,1 wk ahead,Bin,percent,7.2,7.3,1.7177337525708938e-06
US National,1 wk ahead,Bin,percent,7.3,7.4,4.196739752160283e-06
US National,1 wk ahead,Bin,percent,7.4,7.5,7.752525206683458e-06
US National,1 wk ahead,Bin,percent,7.5,7.6,7.174092274908617e-06
US National,1 wk ahead,Bin,percent,7.6,7.7,6.4704295255069155e-06
US National,1 wk ahead,Bin,percent,7.7,7.8,5.764967227150919e-06
US National,1 wk ahead,Bin,percent,7.8,7.9,6.391989074927551e-06
US National,1 wk ahead,Bin,percent,7.9,8.0,7.3490911063345266e-06
US National,1 wk ahead,Bin,percent,8.0,8.1,4.5612758583502e-06
US National,1 wk ahead,Bin,percent,8.1,8.2,2.7329808176546067e-06
US National,1 wk ahead,Bin,percent,8.2,8.3,9.403478173908297e-06
US National,1 wk ahead,Bin,percent,8.3,8.4,1.5450114858595043e-05
US National,1 wk ahead,Bin,percent,8.4,8.5,1.4856332086310431e-05
US National,1 wk ahead,Bin,percent,8.5,8.6,1.5022421791854867e-05
US National,1 wk ahead,Bin,percent,8.6,8.7,9.82408641903021e-06
US National,1 wk ahead,Bin,percent,8.7,8.8,3.5154408237758616e-06
US National,1 wk ahead,Bin,percent,8.8,8.9,4.862842047259619e-06
US National,1 wk ahead,Bin,percent,8.9,9.0,8.32095162195401e-06
US National,1 wk ahead,Bin,percent,9.0,9.1,7.294840088434285e-06
US National,1 wk ahead,Bin,percent,9.1,9.2,4.255440330780402e-06
US National,1 wk ahead,Bin,percent,9.2,9.3,3.999160412604397e-06
US National,1 wk ahead,Bin,percent,9.3,9.4,3.9812423437979305e-06
US National,1 wk ahead,Bin,percent,9.4,9.5,4.041484658046102e-06
